Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_123_1013,VSS,Metal1,492.9480,483.4630,0.000000
FILLER_123_1006,VSS,Metal1,490.3260,483.3790,0.000000
FILLER_123_999,VSS,Metal1,486.9660,483.3790,0.000000
FILLER_123_992,VSS,Metal1,483.6060,483.3790,0.000000
FILLER_123_985,VSS,Metal1,480.2460,483.3790,0.000000
FILLER_123_978,VSS,Metal1,476.8860,483.3790,0.000000
FILLER_123_971,VSS,Metal1,473.5260,483.3790,0.000000
FILLER_123_964,VSS,Metal1,470.1660,483.3790,0.000000
FILLER_123_957,VSS,Metal1,466.8060,483.3790,0.000000
FILLER_123_950,VSS,Metal1,463.4460,483.3790,0.000000
FILLER_123_943,VSS,Metal1,460.0860,483.3790,0.000000
FILLER_123_936,VSS,Metal1,456.7260,483.3790,0.000000
FILLER_123_929,VSS,Metal1,453.3660,483.3790,0.000000
FILLER_123_922,VSS,Metal1,450.0060,483.3790,0.000000
FILLER_123_915,VSS,Metal1,446.6460,483.3790,0.000000
FILLER_123_908,VSS,Metal1,443.2860,483.3790,0.000000
FILLER_123_901,VSS,Metal1,439.9260,483.3790,0.000000
FILLER_123_894,VSS,Metal1,436.5660,483.3790,0.000000
FILLER_123_887,VSS,Metal1,433.2060,483.3790,0.000000
FILLER_123_880,VSS,Metal1,429.8460,483.3790,0.000000
FILLER_123_873,VSS,Metal1,426.4860,483.3790,0.000000
FILLER_123_866,VSS,Metal1,423.1260,483.3790,0.000000
FILLER_123_859,VSS,Metal1,419.7660,483.3790,0.000000
FILLER_123_852,VSS,Metal1,416.4060,483.3790,0.000000
FILLER_123_845,VSS,Metal1,413.0460,483.3790,0.000000
FILLER_123_838,VSS,Metal1,409.6860,483.3790,0.000000
FILLER_123_831,VSS,Metal1,406.3260,483.3790,0.000000
FILLER_123_826,VSS,Metal1,402.4800,483.8400,0.000000
FILLER_123_822,VSS,Metal1,401.2680,483.4630,0.000000
FILLER_123_815,VSS,Metal1,398.6460,483.3790,0.000000
FILLER_123_808,VSS,Metal1,395.2860,483.3790,0.000000
FILLER_123_801,VSS,Metal1,391.9260,483.3790,0.000000
FILLER_123_796,VSS,Metal1,388.0800,483.8400,0.000000
FILLER_123_789,VSS,Metal1,386.1660,483.3790,0.000000
FILLER_123_782,VSS,Metal1,382.8060,483.3790,0.000000
FILLER_123_775,VSS,Metal1,379.4460,483.3790,0.000000
FILLER_123_770,VSS,Metal1,375.6000,483.8400,0.000000
FILLER_123_768,VSS,Metal1,374.8800,483.8400,0.000000
FILLER_123_761,VSS,Metal1,372.7260,483.3790,0.000000
FILLER_123_754,VSS,Metal1,369.3660,483.3790,0.000000
FILLER_123_747,VSS,Metal1,366.0060,483.3790,0.000000
FILLER_123_740,VSS,Metal1,362.6460,483.3790,0.000000
FILLER_123_733,VSS,Metal1,359.2860,483.3790,0.000000
FILLER_123_725,VSS,Metal1,354.7080,483.4630,0.000000
FILLER_123_718,VSS,Metal1,352.0860,483.3790,0.000000
FILLER_123_711,VSS,Metal1,348.7260,483.3790,0.000000
FILLER_123_704,VSS,Metal1,345.3660,483.3790,0.000000
FILLER_123_697,VSS,Metal1,342.0060,483.3790,0.000000
FILLER_123_686,VSS,Metal1,336.7260,483.3790,0.000000
FILLER_123_679,VSS,Metal1,333.3660,483.3790,0.000000
FILLER_123_672,VSS,Metal1,330.0060,483.3790,0.000000
