Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_1058,VPWR,li1,492.4300,486.8800,1.800000
FILLER_174_1055,VPWR,li1,491.5100,486.8800,1.800000
FILLER_174_1052,VPWR,li1,490.1300,486.8800,1.800000
FILLER_174_1049,VPWR,li1,488.7500,486.8800,1.800000
FILLER_174_1046,VPWR,li1,487.3700,486.8800,1.800000
FILLER_174_1043,VPWR,li1,485.9900,486.8800,1.800000
FILLER_174_1040,VPWR,li1,484.6100,486.8800,1.800000
FILLER_174_1037,VPWR,li1,483.2300,486.8800,1.800000
FILLER_174_1033,VPWR,li1,481.3900,486.8800,1.800000
FILLER_174_1030,VPWR,li1,480.0100,486.8800,1.800000
FILLER_174_1027,VPWR,li1,478.6300,486.8800,1.800000
FILLER_174_1024,VPWR,li1,477.2500,486.8800,1.800000
FILLER_174_1021,VPWR,li1,475.8700,486.8800,1.800000
FILLER_174_1018,VPWR,li1,474.4900,486.8800,1.800000
FILLER_174_1015,VPWR,li1,473.1100,486.8800,1.800000
FILLER_174_1012,VPWR,li1,471.7300,486.8800,1.800000
FILLER_174_1009,VPWR,li1,470.3500,486.8800,1.800000
FILLER_174_1005,VPWR,li1,468.5100,486.8800,1.800000
FILLER_174_1002,VPWR,li1,467.1300,486.8800,1.800000
FILLER_174_999,VPWR,li1,465.7500,486.8800,1.800000
FILLER_174_996,VPWR,li1,464.3700,486.8800,1.800000
FILLER_174_993,VPWR,li1,462.9900,486.8800,1.800000
FILLER_174_990,VPWR,li1,461.6100,486.8800,1.800000
FILLER_174_987,VPWR,li1,460.2300,486.8800,1.800000
FILLER_174_984,VPWR,li1,458.8500,486.8800,1.800000
FILLER_174_981,VPWR,li1,457.4700,486.8800,1.800000
FILLER_174_977,VPWR,li1,455.6300,486.8800,1.800000
FILLER_174_974,VPWR,li1,454.2500,486.8800,1.800000
FILLER_174_971,VPWR,li1,452.8700,486.8800,1.800000
FILLER_174_968,VPWR,li1,451.4900,486.8800,1.800000
FILLER_174_965,VPWR,li1,450.1100,486.8800,1.800000
FILLER_174_962,VPWR,li1,448.7300,486.8800,1.800000
FILLER_174_959,VPWR,li1,447.3500,486.8800,1.800000
FILLER_174_956,VPWR,li1,445.9700,486.8800,1.800000
FILLER_174_953,VPWR,li1,444.5900,486.8800,1.800000
FILLER_174_949,VPWR,li1,442.7500,486.8800,1.800000
FILLER_174_946,VPWR,li1,441.3700,486.8800,1.800000
FILLER_174_943,VPWR,li1,439.9900,486.8800,1.800000
FILLER_174_940,VPWR,li1,438.6100,486.8800,1.800000
FILLER_174_937,VPWR,li1,437.2300,486.8800,1.800000
FILLER_174_934,VPWR,li1,435.8500,486.8800,1.800000
FILLER_174_931,VPWR,li1,434.4700,486.8800,1.800000
FILLER_174_928,VPWR,li1,433.0900,486.8800,1.800000
FILLER_174_925,VPWR,li1,431.7100,486.8800,1.800000
FILLER_174_921,VPWR,li1,429.8700,486.8800,1.800000
FILLER_174_918,VPWR,li1,428.4900,486.8800,1.800000
FILLER_174_915,VPWR,li1,427.1100,486.8800,1.800000
FILLER_174_912,VPWR,li1,425.7300,486.8800,1.800000
FILLER_174_909,VPWR,li1,424.3500,486.8800,1.800000
FILLER_174_906,VPWR,li1,422.9700,486.8800,1.800000
FILLER_174_903,VPWR,li1,421.5900,486.8800,1.800000
FILLER_174_900,VPWR,li1,420.2100,486.8800,1.800000
FILLER_174_897,VPWR,li1,418.8300,486.8800,1.800000
FILLER_174_893,VPWR,li1,416.9900,486.8800,1.800000
