Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,447
design__inferred_latch__count,0
design__instance__count,63244
design__instance__area,232536
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0019151467131450772
power__switching__total,0.0007437412859871984
power__leakage__total,2.3046291630635096E-7
power__total,0.002659118501469493
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2937134785186827
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2846638283444165
timing__hold__ws__corner:nom_tt_025C_1v80,0.3198205679701314
timing__setup__ws__corner:nom_tt_025C_1v80,5.4885515463797345
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319821
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.076058
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,146
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3152519168278618
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3007699452404682
timing__hold__ws__corner:nom_ss_100C_1v60,0.7118077440056559
timing__setup__ws__corner:nom_ss_100C_1v60,2.570879581987697
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.879932
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.570880
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2823572566787966
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2761403128764003
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11023016145196747
timing__setup__ws__corner:nom_ff_n40C_1v95,6.3108249301475405
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110230
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.344699
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,161
design__max_fanout_violation__count,17
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2795052046701755
clock__skew__worst_setup,0.2740435178572162
timing__hold__ws,0.10841067239660188
timing__setup__ws,2.4667388829757178
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108411
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.466739
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 500.0 500.0
design__core__bbox,5.52 10.88 494.04 486.88
design__io,106
design__die__area,250000
design__core__area,232536
design__instance__count__stdcell,4793
design__instance__area__stdcell,21769.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0936185
design__instance__utilization__stdcell,0.0936185
design__rows,175
design__rows:unithd,175
design__sites,185850
design__sites:unithd,185850
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,286
design__instance__area__class:inverter,1073.53
design__instance__count__class:sequential_cell,270
design__instance__area__class:sequential_cell,7094.3
design__instance__count__class:multi_input_combinational_cell,448
design__instance__area__class:multi_input_combinational_cell,4305.38
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,58451
design__instance__area__class:fill_cell,210766
design__instance__count__class:tap_cell,3274
design__instance__area__class:tap_cell,4096.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,104
design__io__hpwl,21432846
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1880.3
design__instance__displacement__mean,0.365
design__instance__displacement__max,19.04
route__wirelength__estimated,40760.3
design__violations,0
design__instance__count__class:timing_repair_buffer,466
design__instance__area__class:timing_repair_buffer,4554.37
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,40
design__instance__area__class:clock_buffer,575.552
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,57.5552
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,253
global_route__vias,4396
global_route__wirelength,64908
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,1511
route__net__special,2
route__drc_errors__iter:0,339
route__wirelength__iter:0,45252
route__drc_errors__iter:1,106
route__wirelength__iter:1,44914
route__drc_errors__iter:2,47
route__wirelength__iter:2,44845
route__drc_errors__iter:3,0
route__wirelength__iter:3,44819
route__drc_errors,0
route__wirelength,44819
route__vias,9406
route__vias__singlecut,9406
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,558.085
timing__unannotated_net__count__corner:nom_tt_025C_1v80,18
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,18
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,18
