Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_187,VPWR,li1,92.2300,84.3200,1.800000
FILLER_27_184,VPWR,li1,90.8500,84.3200,1.800000
FILLER_27_181,VPWR,li1,89.4700,84.3200,1.800000
FILLER_27_178,VPWR,li1,88.0900,84.3200,1.800000
FILLER_27_175,VPWR,li1,86.7100,84.3200,1.800000
FILLER_27_172,VPWR,li1,85.3300,84.3200,1.800000
FILLER_27_169,VPWR,li1,83.9500,84.3200,1.800000
FILLER_27_165,VPWR,li1,82.1100,84.3200,1.800000
FILLER_27_162,VPWR,li1,80.7300,84.3200,1.800000
FILLER_27_159,VPWR,li1,79.3500,84.3200,1.800000
FILLER_27_156,VPWR,li1,77.9700,84.3200,1.800000
FILLER_27_153,VPWR,li1,76.5900,84.3200,1.800000
FILLER_27_150,VPWR,li1,75.2100,84.3200,1.800000
FILLER_27_147,VPWR,li1,73.8300,84.3200,1.800000
FILLER_27_144,VPWR,li1,72.4500,84.3200,1.800000
FILLER_27_141,VPWR,li1,71.0700,84.3200,1.800000
FILLER_27_137,VPWR,li1,69.2300,84.3200,1.800000
FILLER_27_134,VPWR,li1,67.8500,84.3200,1.800000
FILLER_27_131,VPWR,li1,66.4700,84.3200,1.800000
FILLER_27_128,VPWR,li1,65.0900,84.3200,1.800000
FILLER_27_125,VPWR,li1,63.7100,84.3200,1.800000
FILLER_27_122,VPWR,li1,62.3300,84.3200,1.800000
FILLER_27_119,VPWR,li1,60.9500,84.3200,1.800000
FILLER_27_116,VPWR,li1,59.5700,84.3200,1.800000
FILLER_27_113,VPWR,li1,58.1900,84.3200,1.800000
FILLER_27_109,VPWR,li1,56.3500,84.3200,1.800000
FILLER_27_106,VPWR,li1,54.9700,84.3200,1.800000
FILLER_27_103,VPWR,li1,53.5900,84.3200,1.800000
FILLER_27_100,VPWR,li1,52.2100,84.3200,1.800000
FILLER_27_97,VPWR,li1,50.8300,84.3200,1.800000
FILLER_27_94,VPWR,li1,49.4500,84.3200,1.800000
FILLER_27_91,VPWR,li1,48.0700,84.3200,1.800000
FILLER_27_88,VPWR,li1,46.6900,84.3200,1.800000
FILLER_27_85,VPWR,li1,45.3100,84.3200,1.800000
FILLER_27_81,VPWR,li1,43.4700,84.3200,1.800000
FILLER_27_78,VPWR,li1,42.0900,84.3200,1.800000
FILLER_27_75,VPWR,li1,40.7100,84.3200,1.800000
FILLER_27_72,VPWR,li1,39.3300,84.3200,1.800000
FILLER_27_69,VPWR,li1,37.9500,84.3200,1.800000
FILLER_27_66,VPWR,li1,36.5700,84.3200,1.800000
FILLER_27_63,VPWR,li1,35.1900,84.3200,1.800000
FILLER_27_60,VPWR,li1,33.8100,84.3200,1.800000
FILLER_27_57,VPWR,li1,32.4300,84.3200,1.800000
FILLER_27_53,VPWR,li1,30.5900,84.3200,1.800000
FILLER_27_50,VPWR,li1,29.2100,84.3200,1.800000
FILLER_27_47,VPWR,li1,27.8300,84.3200,1.800000
FILLER_27_44,VPWR,li1,26.4500,84.3200,1.800000
FILLER_27_41,VPWR,li1,25.0700,84.3200,1.800000
FILLER_27_38,VPWR,li1,23.6900,84.3200,1.800000
FILLER_27_35,VPWR,li1,22.3100,84.3200,1.800000
FILLER_27_32,VPWR,li1,20.9300,84.3200,1.800000
FILLER_27_29,VPWR,li1,19.5500,84.3200,1.800000
FILLER_27_27,VPWR,li1,18.1700,84.3200,1.800000
FILLER_27_24,VPWR,li1,17.2500,84.3200,1.800000
FILLER_27_21,VPWR,li1,15.8700,84.3200,1.800000
FILLER_27_18,VPWR,li1,14.4900,84.3200,1.800000
FILLER_27_15,VPWR,li1,13.1100,84.3200,1.800000
FILLER_27_12,VPWR,li1,11.7300,84.3200,1.800000
FILLER_27_9,VPWR,li1,10.3500,84.3200,1.800000
FILLER_27_6,VPWR,li1,8.9700,84.3200,1.800000
FILLER_27_3,VPWR,li1,7.5900,84.3200,1.800000
FILLER_26_189,VPWR,li1,92.6900,84.3200,1.800000
FILLER_26_186,VPWR,li1,91.7700,84.3200,1.800000
FILLER_26_183,VPWR,li1,90.3900,84.3200,1.800000
FILLER_26_180,VPWR,li1,89.0100,84.3200,1.800000
FILLER_26_177,VPWR,li1,87.6300,84.3200,1.800000
FILLER_26_174,VPWR,li1,86.2500,84.3200,1.800000
FILLER_26_171,VPWR,li1,84.8700,84.3200,1.800000
FILLER_26_168,VPWR,li1,83.4900,84.3200,1.800000
FILLER_26_165,VPWR,li1,82.1100,84.3200,1.800000
FILLER_26_162,VPWR,li1,80.7300,84.3200,1.800000
