Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_123_1013,VDD,Metal1,492.9710,480.6560,1.200000
FILLER_123_1006,VDD,Metal1,490.3290,480.6580,1.200000
FILLER_123_999,VDD,Metal1,486.9690,480.6580,1.200000
FILLER_123_992,VDD,Metal1,483.6090,480.6580,1.200000
FILLER_123_985,VDD,Metal1,480.2490,480.6580,1.200000
FILLER_123_978,VDD,Metal1,476.8890,480.6580,1.200000
FILLER_123_971,VDD,Metal1,473.5290,480.6580,1.200000
FILLER_123_964,VDD,Metal1,470.1690,480.6580,1.200000
FILLER_123_957,VDD,Metal1,466.8090,480.6580,1.200000
FILLER_123_950,VDD,Metal1,463.4490,480.6580,1.200000
FILLER_123_943,VDD,Metal1,460.0890,480.6580,1.200000
FILLER_123_936,VDD,Metal1,456.7290,480.6580,1.200000
FILLER_123_929,VDD,Metal1,453.3690,480.6580,1.200000
FILLER_123_922,VDD,Metal1,450.0090,480.6580,1.200000
FILLER_123_915,VDD,Metal1,446.6490,480.6580,1.200000
FILLER_123_908,VDD,Metal1,443.2890,480.6580,1.200000
FILLER_123_901,VDD,Metal1,439.9290,480.6580,1.200000
FILLER_123_894,VDD,Metal1,436.5690,480.6580,1.200000
FILLER_123_887,VDD,Metal1,433.2090,480.6580,1.200000
FILLER_123_880,VDD,Metal1,429.8490,480.6580,1.200000
FILLER_123_873,VDD,Metal1,426.4890,480.6580,1.200000
FILLER_123_866,VDD,Metal1,423.1290,480.6580,1.200000
FILLER_123_859,VDD,Metal1,419.7690,480.6580,1.200000
FILLER_123_852,VDD,Metal1,416.4090,480.6580,1.200000
FILLER_123_845,VDD,Metal1,413.0490,480.6580,1.200000
FILLER_123_838,VDD,Metal1,409.6890,480.6580,1.200000
FILLER_123_831,VDD,Metal1,406.3290,480.6580,1.200000
FILLER_123_826,VDD,Metal1,402.4800,480.0600,1.200000
FILLER_123_822,VDD,Metal1,401.2910,480.6560,1.200000
FILLER_123_815,VDD,Metal1,398.6490,480.6580,1.200000
FILLER_123_808,VDD,Metal1,395.2890,480.6580,1.200000
FILLER_123_801,VDD,Metal1,391.9290,480.6580,1.199999
FILLER_123_796,VDD,Metal1,388.0800,480.0600,1.199999
FILLER_123_789,VDD,Metal1,386.1690,480.6580,1.199999
FILLER_123_782,VDD,Metal1,382.8090,480.6580,1.199999
FILLER_123_775,VDD,Metal1,379.4490,480.6580,1.199999
