net,length_um
net208,602.43µm
clknet_2_0__leaf_clk,487.04µm
net119,436.72µm
clknet_0_clk,398.32µm
net191,383.3µm
clknet_2_1__leaf_clk,373.27µm
net117,340.445µm
net185,332.585µm
net104,324.13µm
net139,320.22µm
net150,318.345µm
net148,318.34µm
delay_chain_inst.delay_status\[0\],307.64µm
clknet_leaf_18_clk,304.46µm
net30,293.6µm
clk,271.76µm
clknet_leaf_4_clk,259.66µm
net29,247.03µm
net103,238.34µm
net159,238.265µm
clknet_2_2__leaf_clk,234.2µm
net45,233.96µm
net158,229.32µm
_0749_,229.105µm
clknet_leaf_0_clk,224.305µm
net94,224.295µm
net89,221.175µm
net99,218.65µm
clknet_2_3__leaf_clk,216.105µm
net146,209.235µm
net101,207.96µm
net19,205.21µm
net93,203.695µm
net116,203.535µm
clknet_leaf_16_clk,202.525µm
net31,202.09µm
net18,201.8µm
net118,199.48µm
net149,197.5µm
clknet_leaf_2_clk,197.135µm
net20,196.93µm
clknet_leaf_14_clk,195µm
net96,193.63µm
clknet_leaf_17_clk,192.345µm
net88,192.31µm
clknet_leaf_20_clk,191.065µm
clknet_leaf_12_clk,188.25µm
_0775_,188.23µm
clknet_leaf_15_clk,187.22µm
_0782_,186.135µm
clknet_leaf_21_clk,183.825µm
net87,182.635µm
net97,182.495µm
net111,181.165µm
clknet_leaf_19_clk,180.715µm
clknet_leaf_7_clk,180.27µm
net145,178.855µm
net8,176.585µm
net7,176.3µm
net161,175.555µm
_0779_,175.435µm
net86,174.535µm
clknet_leaf_13_clk,174.195µm
clknet_leaf_8_clk,171.88µm
net115,169.655µm
net69,167.88µm
net147,166.96µm
clknet_leaf_9_clk,165.535µm
net204,164.73µm
net132,163.52µm
net129,161.98µm
net143,161.535µm
clknet_leaf_11_clk,160.545µm
_0590_,155.85µm
net124,155.18µm
clknet_leaf_10_clk,155.025µm
net90,152.78µm
net172,152.545µm
net195,151.87µm
net47,150.61µm
net95,149.48µm
net49,146.485µm
net131,146.04µm
net91,145.855µm
net33,144.565µm
net50,144µm
net51,143.755µm
net10,142.75µm
net153,142.375µm
net190,142.08µm
net133,140.395µm
net92,138.55µm
net461,138.2µm
_0712_,138.085µm
_0729_,137.57µm
net164,135.575µm
net203,135.56µm
net110,135.445µm
net189,135.01µm
net107,134.51µm
net11,134.395µm
net35,132.325µm
net186,131.48µm
net173,131.235µm
net178,129.61µm
net141,128.475µm
net109,128.09µm
net138,127.46µm
net207,127.37µm
net170,127.015µm
net175,126.475µm
net106,123.705µm
_0673_,123.505µm
_0831_,123.355µm
net198,121.405µm
_0730_,121.33µm
net142,120.73µm
_0848_,120.52µm
net108,118.83µm
net206,118.195µm
_0711_,117.88µm
net114,117.72µm
net165,117.345µm
net151,116.81µm
net166,115.64µm
net177,115.17µm
net202,115.16µm
clknet_leaf_1_clk,114.71µm
_0770_,114.6µm
net188,113.18µm
net152,112.715µm
net130,112.47µm
net184,112.32µm
net196,111.82µm
net136,111.57µm
net144,111.085µm
net194,111.04µm
ro_counter_inst.count_0\[5\],110.6µm
_0591_,110.53µm
net167,109.935µm
net61,109.4µm
net113,108.955µm
net112,108.845µm
net496,108.38µm
net200,108.205µm
_0001_,107.78µm
net199,107.655µm
net180,107.47µm
net163,106.125µm
net63,105.57µm
net154,105.245µm
ro_count_1\[6\],104.935µm
net182,104.785µm
net134,104.615µm
net213,104.34µm
net46,104µm
