2026-06-19 09:35:30 +0200: Memory Usage (445196K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/sky130_characterization/openlane/characterization_top/runs/RUN_2026-06-19_09-25-21/58-klayout-streamout/characterization_top.gds
2026-06-19 09:35:30 +0200: Memory Usage (445196K) : Ruby Version for klayout: 3.2.3
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : Loading database to memory is complete.
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/sky130_characterization/openlane/characterization_top/runs/RUN_2026-06-19_09-25-21/65-klayout-drc/reports/drc.klayout.lyrdb
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : Evaluate switches.
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : tables selected: main
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : KLayout will use 22 thread(s) in tiling mode.
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : deep mode is enabled.
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : FEOL enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : BEOL enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : OFFGRID enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : ANGLE enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : PIN enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : FORBIDDEN enabled: true
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : RECOMMENDED enabled: false
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : PreCheck DRC enabled: false
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : CONNECTIVITY_RULES enabled: true.
2026-06-19 09:35:30 +0200: Memory Usage (447420K) : Read in polygons from layers.
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_drw has 76953 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_pin has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_mask has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_filler has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_nofill has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_opc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_iopc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : activ_noqrc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : biwind_drw has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : biwind_opc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450036K) : pemwind_drw has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_drw has 60756 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_pin has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_filler has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_nofill has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_opc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_iopc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450564K) : gatpoly_noqrc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450740K) : cont_drw has 563589 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450740K) : cont_opc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450740K) : nsd_drw has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (450740K) : nsd_block has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_drw has 80109 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_pin has 42522 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_mask has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_filler has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_nofill has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451268K) : metal1_slit has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_text has 42313 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_opc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_noqrc has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_res has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_iprobe has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : metal1_diffprb has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : passiv_drw has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : passiv_pin has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (451824K) : passiv_sbump has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (452000K) : passiv_pillar has 0 polygons
2026-06-19 09:35:30 +0200: Memory Usage (452000K) : passiv_pdl has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_drw has 19713 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_pin has 46 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_mask has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_text has 46 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_noqrc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_res has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal2_diffprb has 0 polygons
