net,length_um
net102,558.085µm
net103,547.98µm
_0608_,474.44µm
clknet_2_0__leaf_clk,438.84µm
net59,379.31µm
net99,372.5µm
_0618_,371.97µm
net213,356.7µm
net58,350.44µm
clknet_2_1__leaf_clk,331.76µm
clk,317.3µm
net212,314.5µm
clknet_0_clk,302.225µm
net43,297.06µm
net41,292.9µm
net42,284.82µm
net40,281.72µm
net143,259.92µm
net119,252.83µm
state\[0\],242.48µm
net114,235.64µm
net39,226.2µm
clknet_2_2__leaf_clk,225.06µm
_0606_,217.88µm
_0604_,214.92µm
net22,208.14µm
clknet_2_3__leaf_clk,201.26µm
net211,200.54µm
_0588_,199.505µm
net25,189.1µm
_0589_,188.5µm
ro_counter_inst.done,186.42µm
net27,183.48µm
net51,182.62µm
net162,181µm
net94,179.94µm
net52,179.74µm
net35,178.22µm
net36,178.22µm
net146,177.82µm
net24,177.48µm
net26,174.98µm
net172,174.71µm
net11,174.32µm
net95,174.32µm
_0619_,170.82µm
_0582_,169.22µm
net69,166.74µm
net10,162.24µm
_0583_,161.68µm
delay_chain_inst.cycle_count\[13\],160.32µm
clknet_leaf_18_clk,155.3µm
clknet_leaf_13_clk,151.62µm
clknet_leaf_22_clk,150.68µm
clknet_leaf_20_clk,150.24µm
clknet_leaf_1_clk,147.58µm
net147,146.42µm
_0585_,146.4µm
clknet_leaf_8_clk,145.32µm
net109,144.99µm
delay_chain_inst.cycle_count\[12\],143.21µm
net123,142.865µm
delay_chain_inst.cycle_count\[15\],142.82µm
net148,142.74µm
net121,141.77µm
_0586_,139.5µm
delay_chain_inst.cycle_count\[9\],138.7µm
net145,138.43µm
clknet_leaf_21_clk,137.02µm
clknet_leaf_11_clk,135.57µm
clknet_leaf_4_clk,133.16µm
net5,132.72µm
clknet_leaf_19_clk,132.18µm
delay_chain_inst.cycle_count\[11\],131.45µm
delay_chain_inst.cycle_count\[14\],130.68µm
delay_chain_inst.cycle_count\[8\],130.21µm
net209,130.14µm
clknet_leaf_16_clk,126.94µm
clknet_leaf_6_clk,126.52µm
net208,126.26µm
net112,126.11µm
net116,123.56µm
net117,123.04µm
clknet_leaf_5_clk,122.83µm
net139,121.94µm
clknet_leaf_9_clk,119.08µm
clknet_leaf_3_clk,118.58µm
net189,118.02µm
net210,117.52µm
net151,115.23µm
state\[4\],114.7µm
net157,114.5µm
clknet_leaf_7_clk,114.39µm
net6,113.94µm
net96,112.82µm
net128,112.14µm
net197,111.82µm
net138,111.66µm
clknet_leaf_17_clk,111.01µm
delay_chain_inst.cycle_count\[3\],110.62µm
net125,109.22µm
net133,108.535µm
net204,105.98µm
